scope,metric,rain_leads_weeks,pearson_raw,spearman_raw,pearson_anomaly,weeks,active_weeks,analysis_start,analysis_end
Eastern Samar,volume_mt,0,-0.251931828877765,-0.25888673801254714,-0.11539687928467508,260,165,2021-01-04,2025-12-22
Eastern Samar,volume_mt,1,-0.2852138381301433,-0.3173307028258245,-0.1463895497206658,259,165,2021-01-04,2025-12-22
Eastern Samar,volume_mt,2,-0.2952695824713847,-0.3302977760263604,-0.1605094193426343,258,165,2021-01-04,2025-12-22
Eastern Samar,volume_mt,3,-0.2586480431364106,-0.2973098583186699,-0.12632389150772566,257,165,2021-01-04,2025-12-22
Eastern Samar,volume_mt,4,-0.2863442851076276,-0.33297235059182084,-0.16413434091464463,256,165,2021-01-04,2025-12-22
Other-Check,shipments,0,0.0567009315880358,0.13706946955307092,0.07135193354506943,260,46,2021-01-04,2025-12-22
Other-Check,shipments,1,0.031094550313991883,0.07028850186899396,-0.025678157566948433,259,46,2021-01-04,2025-12-22
Other-Check,shipments,2,0.037578485064791826,0.014426504000496164,0.048836902473608876,258,46,2021-01-04,2025-12-22
Other-Check,shipments,3,0.0072795573650861105,0.029246253407520562,0.04768044857113285,257,46,2021-01-04,2025-12-22
Other-Check,shipments,4,0.006560987200845609,0.03043256610452155,0.01970528646840924,256,46,2021-01-04,2025-12-22
Other-Check,volume_mt,0,0.05422602313161383,0.1370680283086507,0.06913059344700243,260,46,2021-01-04,2025-12-22
Other-Check,volume_mt,1,0.03480942241379576,0.07723300403270811,-0.023363477497722836,259,46,2021-01-04,2025-12-22
Other-Check,volume_mt,2,0.042704776031994476,0.017154762350929716,0.05385599048181758,258,46,2021-01-04,2025-12-22
Other-Check,volume_mt,3,0.011316030703332194,0.03538003557120497,0.050214289722104656,257,46,2021-01-04,2025-12-22
Other-Check,volume_mt,4,0.011160095153108536,0.03429607060140097,0.02277947372926745,256,46,2021-01-04,2025-12-22
Philippines weighted,shipments,0,-0.24676683768860125,-0.22462292896208919,0.03117874576518721,260,260,2021-01-04,2025-12-22
Philippines weighted,shipments,1,-0.29799651645712366,-0.27309969799393236,-0.06121704931862742,259,260,2021-01-04,2025-12-22
Philippines weighted,shipments,2,-0.3627677707747887,-0.35178562790126633,-0.2139120159886647,258,260,2021-01-04,2025-12-22
Philippines weighted,shipments,3,-0.2744509200025044,-0.27557511383648803,-0.005900682716503904,257,260,2021-01-04,2025-12-22
Philippines weighted,shipments,4,-0.2483112249789548,-0.2667719841961165,0.03286813904226091,256,260,2021-01-04,2025-12-22
Philippines weighted,volume_mt,0,-0.24616167521410226,-0.22366716849475465,0.03121096747526246,260,260,2021-01-04,2025-12-22
Philippines weighted,volume_mt,1,-0.29726213293181925,-0.27100379193402446,-0.06400734016981245,259,260,2021-01-04,2025-12-22
Philippines weighted,volume_mt,2,-0.35486627443746455,-0.34768634994858866,-0.1995997931042046,258,260,2021-01-04,2025-12-22
Philippines weighted,volume_mt,3,-0.27341912233860094,-0.27432330784544384,-0.0021693116251541825,257,260,2021-01-04,2025-12-22
Philippines weighted,volume_mt,4,-0.24415206018027494,-0.2653696498054474,0.039336056156221016,256,260,2021-01-04,2025-12-22
