scope,metric,month,pearson_raw,months
Palawan,shipments,2025-01-01,-0.25112615708247926,24
Palawan,volume_mt,2025-01-01,-0.22544538745943252,24
Palawan,shipments,2025-02-01,-0.13387427597416546,24
Palawan,volume_mt,2025-02-01,-0.10769894571764167,24
Palawan,shipments,2025-03-01,-0.1061449823729369,24
Palawan,volume_mt,2025-03-01,-0.07898134526288392,24
Palawan,shipments,2025-04-01,-0.15413985506604827,24
Palawan,volume_mt,2025-04-01,-0.1382719200084195,24
Palawan,shipments,2025-05-01,-0.13088537242402898,24
Palawan,volume_mt,2025-05-01,-0.11703901514586011,24
Palawan,shipments,2025-06-01,-0.10502997697122843,24
Palawan,volume_mt,2025-06-01,-0.0921147851956884,24
Palawan,shipments,2025-07-01,-0.09817719252527063,24
Palawan,volume_mt,2025-07-01,-0.08523768114831516,24
Palawan,shipments,2025-08-01,-0.13220251910936662,24
Palawan,volume_mt,2025-08-01,-0.11200721793285001,24
Palawan,shipments,2025-09-01,-0.1210631331207211,24
Palawan,volume_mt,2025-09-01,-0.10080954907233786,24
Palawan,shipments,2025-10-01,-0.12432354722219528,24
Palawan,volume_mt,2025-10-01,-0.11443566751032651,24
Palawan,shipments,2025-11-01,-0.14275756503521997,24
Palawan,volume_mt,2025-11-01,-0.13314218453148982,24
Palawan,shipments,2025-12-01,-0.19739447070442787,24
Palawan,volume_mt,2025-12-01,-0.18101000246737456,24
Surigao-Dinagat-Caraga,shipments,2022-12-01,-0.6318039940263549,24
Surigao-Dinagat-Caraga,volume_mt,2022-12-01,-0.6293251126783571,24
Surigao-Dinagat-Caraga,shipments,2023-01-01,-0.6484262080370938,24
Surigao-Dinagat-Caraga,volume_mt,2023-01-01,-0.6449160857221825,24
Surigao-Dinagat-Caraga,shipments,2023-02-01,-0.6388341548675223,24
Surigao-Dinagat-Caraga,volume_mt,2023-02-01,-0.6352626247530065,24
Surigao-Dinagat-Caraga,shipments,2023-03-01,-0.5966237028567677,24
Surigao-Dinagat-Caraga,volume_mt,2023-03-01,-0.5912141442393214,24
Surigao-Dinagat-Caraga,shipments,2023-04-01,-0.5681814490351241,24
Surigao-Dinagat-Caraga,volume_mt,2023-04-01,-0.5631461253290051,24
Surigao-Dinagat-Caraga,shipments,2023-05-01,-0.6068727781410452,24
Surigao-Dinagat-Caraga,volume_mt,2023-05-01,-0.6017941573113182,24
Surigao-Dinagat-Caraga,shipments,2023-06-01,-0.6073385722874648,24
Surigao-Dinagat-Caraga,volume_mt,2023-06-01,-0.6019571413005893,24
Surigao-Dinagat-Caraga,shipments,2023-07-01,-0.6044307304334052,24
Surigao-Dinagat-Caraga,volume_mt,2023-07-01,-0.5987281423350033,24
Surigao-Dinagat-Caraga,shipments,2023-08-01,-0.6256297895580647,24
Surigao-Dinagat-Caraga,volume_mt,2023-08-01,-0.6187725776557477,24
Surigao-Dinagat-Caraga,shipments,2023-09-01,-0.6509222369898029,24
Surigao-Dinagat-Caraga,volume_mt,2023-09-01,-0.6441480482252495,24
Surigao-Dinagat-Caraga,shipments,2023-10-01,-0.6562195923173492,24
Surigao-Dinagat-Caraga,volume_mt,2023-10-01,-0.6479391484455603,24
Surigao-Dinagat-Caraga,shipments,2023-11-01,-0.6658812462634498,24
Surigao-Dinagat-Caraga,volume_mt,2023-11-01,-0.6584352374263904,24
Surigao-Dinagat-Caraga,shipments,2023-12-01,-0.6507433666456485,24
Surigao-Dinagat-Caraga,volume_mt,2023-12-01,-0.6419982974214451,24
Surigao-Dinagat-Caraga,shipments,2024-01-01,-0.6390042852327295,24
Surigao-Dinagat-Caraga,volume_mt,2024-01-01,-0.6295461193896934,24
Surigao-Dinagat-Caraga,shipments,2024-02-01,-0.5951003984862241,24
Surigao-Dinagat-Caraga,volume_mt,2024-02-01,-0.5849674430124715,24
Surigao-Dinagat-Caraga,shipments,2024-03-01,-0.5513097743117755,24
Surigao-Dinagat-Caraga,volume_mt,2024-03-01,-0.5391620408821934,24
Surigao-Dinagat-Caraga,shipments,2024-04-01,-0.5748420534752304,24
Surigao-Dinagat-Caraga,volume_mt,2024-04-01,-0.5630865574456166,24
Surigao-Dinagat-Caraga,shipments,2024-05-01,-0.5901572518888621,24
Surigao-Dinagat-Caraga,volume_mt,2024-05-01,-0.5784140353494915,24
Surigao-Dinagat-Caraga,shipments,2024-06-01,-0.5654891612410401,24
Surigao-Dinagat-Caraga,volume_mt,2024-06-01,-0.5531372149904678,24
Surigao-Dinagat-Caraga,shipments,2024-07-01,-0.540984661044302,24
Surigao-Dinagat-Caraga,volume_mt,2024-07-01,-0.5299999434123838,24
Surigao-Dinagat-Caraga,shipments,2024-08-01,-0.5389474658314931,24
Surigao-Dinagat-Caraga,volume_mt,2024-08-01,-0.5286354709047967,24
Surigao-Dinagat-Caraga,shipments,2024-09-01,-0.5353192953421647,24
Surigao-Dinagat-Caraga,volume_mt,2024-09-01,-0.5249165417665249,24
Surigao-Dinagat-Caraga,shipments,2024-10-01,-0.5463463682535398,24
Surigao-Dinagat-Caraga,volume_mt,2024-10-01,-0.5371766509674851,24
Surigao-Dinagat-Caraga,shipments,2024-11-01,-0.5157307690111852,24
Surigao-Dinagat-Caraga,volume_mt,2024-11-01,-0.5055313865950828,24
Surigao-Dinagat-Caraga,shipments,2024-12-01,-0.48654515716107116,24
Surigao-Dinagat-Caraga,volume_mt,2024-12-01,-0.4766173297281612,24
Surigao-Dinagat-Caraga,shipments,2025-01-01,-0.47128355355095336,24
Surigao-Dinagat-Caraga,volume_mt,2025-01-01,-0.4634028484868778,24
Surigao-Dinagat-Caraga,shipments,2025-02-01,-0.47003732332393733,24
Surigao-Dinagat-Caraga,volume_mt,2025-02-01,-0.46542133226385085,24
Surigao-Dinagat-Caraga,shipments,2025-03-01,-0.4868767280645954,24
Surigao-Dinagat-Caraga,volume_mt,2025-03-01,-0.4830929955636485,24
Surigao-Dinagat-Caraga,shipments,2025-04-01,-0.5127356307231117,24
Surigao-Dinagat-Caraga,volume_mt,2025-04-01,-0.5078507285374045,24
Surigao-Dinagat-Caraga,shipments,2025-05-01,-0.5055147465857108,24
Surigao-Dinagat-Caraga,volume_mt,2025-05-01,-0.500850015945722,24
Surigao-Dinagat-Caraga,shipments,2025-06-01,-0.49752246166953656,24
Surigao-Dinagat-Caraga,volume_mt,2025-06-01,-0.4929799011242883,24
Surigao-Dinagat-Caraga,shipments,2025-07-01,-0.5151289223651467,24
Surigao-Dinagat-Caraga,volume_mt,2025-07-01,-0.511109043645367,24
Surigao-Dinagat-Caraga,shipments,2025-08-01,-0.4374111086354222,24
Surigao-Dinagat-Caraga,volume_mt,2025-08-01,-0.43403602312408224,24
Surigao-Dinagat-Caraga,shipments,2025-09-01,-0.4059305690688473,24
Surigao-Dinagat-Caraga,volume_mt,2025-09-01,-0.4015525388523228,24
Surigao-Dinagat-Caraga,shipments,2025-10-01,-0.39255421799666845,24
Surigao-Dinagat-Caraga,volume_mt,2025-10-01,-0.3893651845950983,24
Surigao-Dinagat-Caraga,shipments,2025-11-01,-0.36837429688006246,24
Surigao-Dinagat-Caraga,volume_mt,2025-11-01,-0.3689622426309227,24
Surigao-Dinagat-Caraga,shipments,2025-12-01,-0.3560338077413886,24
Surigao-Dinagat-Caraga,volume_mt,2025-12-01,-0.3566486778374344,24
Tawi-Tawi,shipments,2022-12-01,-0.3607169356887883,24
Tawi-Tawi,volume_mt,2022-12-01,-0.34018006611510254,24
Tawi-Tawi,shipments,2023-01-01,-0.23639154030044934,24
Tawi-Tawi,volume_mt,2023-01-01,-0.21545748355096392,24
Tawi-Tawi,shipments,2023-02-01,-0.18809962768231,24
Tawi-Tawi,volume_mt,2023-02-01,-0.16834421663929008,24
Tawi-Tawi,shipments,2023-03-01,-0.1525167676458778,24
Tawi-Tawi,volume_mt,2023-03-01,-0.13429308458854441,24
Tawi-Tawi,shipments,2023-04-01,-0.06800739885917283,24
Tawi-Tawi,volume_mt,2023-04-01,-0.05747605069412618,24
Tawi-Tawi,shipments,2023-05-01,0.06576295237329666,24
Tawi-Tawi,volume_mt,2023-05-01,0.08306367848566007,24
Tawi-Tawi,shipments,2023-06-01,0.1636613878554117,24
Tawi-Tawi,volume_mt,2023-06-01,0.18565385724257336,24
Tawi-Tawi,shipments,2023-07-01,0.2222416416640333,24
Tawi-Tawi,volume_mt,2023-07-01,0.24610919600121806,24
Tawi-Tawi,shipments,2023-08-01,0.3007557888824334,24
Tawi-Tawi,volume_mt,2023-08-01,0.32556703811033144,24
Tawi-Tawi,shipments,2023-09-01,0.29459340063999573,24
Tawi-Tawi,volume_mt,2023-09-01,0.31814058239661536,24
Tawi-Tawi,shipments,2023-10-01,0.3311539100449973,24
Tawi-Tawi,volume_mt,2023-10-01,0.3490638694111487,24
Tawi-Tawi,shipments,2023-11-01,0.19216293567008663,24
Tawi-Tawi,volume_mt,2023-11-01,0.2129644220960725,24
Tawi-Tawi,shipments,2023-12-01,0.22165639821775193,24
Tawi-Tawi,volume_mt,2023-12-01,0.23859159059949478,24
Tawi-Tawi,shipments,2024-01-01,0.20405680932211948,24
Tawi-Tawi,volume_mt,2024-01-01,0.21663648802254185,24
Tawi-Tawi,shipments,2024-02-01,0.2572842776796573,24
Tawi-Tawi,volume_mt,2024-02-01,0.2656102127780128,24
Tawi-Tawi,shipments,2024-03-01,0.2560792582532161,24
Tawi-Tawi,volume_mt,2024-03-01,0.2562719626313813,24
Tawi-Tawi,shipments,2024-04-01,0.30464271211411326,24
Tawi-Tawi,volume_mt,2024-04-01,0.3038109840879658,24
Tawi-Tawi,shipments,2024-05-01,0.3114025754016038,24
Tawi-Tawi,volume_mt,2024-05-01,0.31801914304911666,24
Tawi-Tawi,shipments,2024-06-01,0.17837956715464495,24
Tawi-Tawi,volume_mt,2024-06-01,0.18680818933862423,24
Tawi-Tawi,shipments,2024-07-01,0.1782925778392616,24
Tawi-Tawi,volume_mt,2024-07-01,0.18668427718758074,24
Tawi-Tawi,shipments,2024-08-01,0.1722504498824371,24
Tawi-Tawi,volume_mt,2024-08-01,0.18074793068850395,24
Tawi-Tawi,shipments,2024-09-01,0.19855361157242912,24
Tawi-Tawi,volume_mt,2024-09-01,0.2076770481330876,24
Tawi-Tawi,shipments,2024-10-01,-0.06195819976155186,24
Tawi-Tawi,volume_mt,2024-10-01,-0.08174129329295031,24
Tawi-Tawi,shipments,2024-11-01,-0.17962636215939748,24
Tawi-Tawi,volume_mt,2024-11-01,-0.20562435094317927,24
Tawi-Tawi,shipments,2024-12-01,-0.2472165336003991,24
Tawi-Tawi,volume_mt,2024-12-01,-0.2846459381790814,24
Tawi-Tawi,shipments,2025-01-01,-0.28734605109895667,24
Tawi-Tawi,volume_mt,2025-01-01,-0.32658178349201156,24
Tawi-Tawi,shipments,2025-02-01,-0.2934238550321242,24
Tawi-Tawi,volume_mt,2025-02-01,-0.3335700135441226,24
Tawi-Tawi,shipments,2025-03-01,-0.3857036408680369,24
Tawi-Tawi,volume_mt,2025-03-01,-0.42151527034311864,24
Tawi-Tawi,shipments,2025-04-01,-0.31431630778201586,24
Tawi-Tawi,volume_mt,2025-04-01,-0.35027791028902305,24
Tawi-Tawi,shipments,2025-05-01,-0.30256046888880905,24
Tawi-Tawi,volume_mt,2025-05-01,-0.33623604465975343,24
Tawi-Tawi,shipments,2025-06-01,-0.31222895525217603,24
Tawi-Tawi,volume_mt,2025-06-01,-0.3468095489165463,24
Tawi-Tawi,shipments,2025-07-01,-0.3714500773575163,24
Tawi-Tawi,volume_mt,2025-07-01,-0.3985585454430841,24
Tawi-Tawi,shipments,2025-08-01,-0.29732481944299094,24
Tawi-Tawi,volume_mt,2025-08-01,-0.32517915490911226,24
Tawi-Tawi,shipments,2025-09-01,-0.2864895235088559,24
Tawi-Tawi,volume_mt,2025-09-01,-0.31164941590417405,24
Tawi-Tawi,shipments,2025-10-01,-0.319910125408706,24
Tawi-Tawi,volume_mt,2025-10-01,-0.34667485622501465,24
Tawi-Tawi,shipments,2025-11-01,-0.3129839715577024,24
Tawi-Tawi,volume_mt,2025-11-01,-0.34169395682040954,24
Tawi-Tawi,shipments,2025-12-01,-0.3126694547724558,24
Tawi-Tawi,volume_mt,2025-12-01,-0.3378106364722983,24
Zambales-Luzon,shipments,2022-12-01,-0.6949669582661548,24
Zambales-Luzon,volume_mt,2022-12-01,-0.6971328445880011,24
Zambales-Luzon,shipments,2023-01-01,-0.7238268452074761,24
Zambales-Luzon,volume_mt,2023-01-01,-0.7267417229185786,24
Zambales-Luzon,shipments,2023-02-01,-0.74132277982614,24
Zambales-Luzon,volume_mt,2023-02-01,-0.7456676678100848,24
Zambales-Luzon,shipments,2023-03-01,-0.7770741999173316,24
Zambales-Luzon,volume_mt,2023-03-01,-0.7814591000300074,24
Zambales-Luzon,shipments,2023-04-01,-0.8173817764094913,24
Zambales-Luzon,volume_mt,2023-04-01,-0.8208443629153376,24
Zambales-Luzon,shipments,2023-05-01,-0.8162890524413696,24
Zambales-Luzon,volume_mt,2023-05-01,-0.8200631227655252,24
Zambales-Luzon,shipments,2023-06-01,-0.8226381815253084,24
Zambales-Luzon,volume_mt,2023-06-01,-0.825718878215985,24
Zambales-Luzon,shipments,2023-07-01,-0.788671046617519,24
Zambales-Luzon,volume_mt,2023-07-01,-0.7930072616706839,24
Zambales-Luzon,shipments,2023-08-01,-0.8005360362388186,24
Zambales-Luzon,volume_mt,2023-08-01,-0.8046805945716289,24
Zambales-Luzon,shipments,2023-09-01,-0.8123658554251161,24
Zambales-Luzon,volume_mt,2023-09-01,-0.8184869280507652,24
Zambales-Luzon,shipments,2023-10-01,-0.8071189569114449,24
Zambales-Luzon,volume_mt,2023-10-01,-0.8130588782003091,24
Zambales-Luzon,shipments,2023-11-01,-0.7795318420226571,24
Zambales-Luzon,volume_mt,2023-11-01,-0.783752621435843,24
Zambales-Luzon,shipments,2023-12-01,-0.7491912130681196,24
Zambales-Luzon,volume_mt,2023-12-01,-0.7532042644807998,24
Zambales-Luzon,shipments,2024-01-01,-0.7148823332366789,24
Zambales-Luzon,volume_mt,2024-01-01,-0.7184391684168154,24
Zambales-Luzon,shipments,2024-02-01,-0.701658848230019,24
Zambales-Luzon,volume_mt,2024-02-01,-0.7024069511867505,24
Zambales-Luzon,shipments,2024-03-01,-0.6428333459716116,24
Zambales-Luzon,volume_mt,2024-03-01,-0.6444136586034878,24
Zambales-Luzon,shipments,2024-04-01,-0.6278307401830899,24
Zambales-Luzon,volume_mt,2024-04-01,-0.6280821941930034,24
Zambales-Luzon,shipments,2024-05-01,-0.663105510841949,24
