scope,metric,week_start,pearson_raw,weeks
Surigao-Dinagat-Caraga,volume_mt,2023-10-02,-0.5037526479457074,52
Surigao-Dinagat-Caraga,shipments,2023-10-09,-0.4989183523846464,52
Surigao-Dinagat-Caraga,volume_mt,2023-10-09,-0.49718535321081364,52
Surigao-Dinagat-Caraga,shipments,2023-10-16,-0.5011911024744298,52
Surigao-Dinagat-Caraga,volume_mt,2023-10-16,-0.4997640551747344,52
Surigao-Dinagat-Caraga,shipments,2023-10-23,-0.5149000600305205,52
Surigao-Dinagat-Caraga,volume_mt,2023-10-23,-0.5121954440305462,52
Surigao-Dinagat-Caraga,shipments,2023-10-30,-0.5325485606304984,52
Surigao-Dinagat-Caraga,volume_mt,2023-10-30,-0.5289332701098799,52
Surigao-Dinagat-Caraga,shipments,2023-11-06,-0.5250449736540133,52
Surigao-Dinagat-Caraga,volume_mt,2023-11-06,-0.520879309564985,52
Surigao-Dinagat-Caraga,shipments,2023-11-13,-0.5256389077150919,52
Surigao-Dinagat-Caraga,volume_mt,2023-11-13,-0.5215186409621273,52
Surigao-Dinagat-Caraga,shipments,2023-11-20,-0.5331597018843158,52
Surigao-Dinagat-Caraga,volume_mt,2023-11-20,-0.5289198574928365,52
Surigao-Dinagat-Caraga,shipments,2023-11-27,-0.5288520634925445,52
Surigao-Dinagat-Caraga,volume_mt,2023-11-27,-0.5251851239636298,52
Surigao-Dinagat-Caraga,shipments,2023-12-04,-0.5153856891153243,52
Surigao-Dinagat-Caraga,volume_mt,2023-12-04,-0.5116665111681834,52
Surigao-Dinagat-Caraga,shipments,2023-12-11,-0.5244067046770204,52
Surigao-Dinagat-Caraga,volume_mt,2023-12-11,-0.5204627036988302,52
Surigao-Dinagat-Caraga,shipments,2023-12-18,-0.5075983221604712,52
Surigao-Dinagat-Caraga,volume_mt,2023-12-18,-0.5036683235759452,52
Surigao-Dinagat-Caraga,shipments,2023-12-25,-0.48070730993277055,52
Surigao-Dinagat-Caraga,volume_mt,2023-12-25,-0.4768469167598099,52
Surigao-Dinagat-Caraga,shipments,2024-01-01,-0.4334405430966738,52
Surigao-Dinagat-Caraga,volume_mt,2024-01-01,-0.42945563986140034,52
Surigao-Dinagat-Caraga,shipments,2024-01-08,-0.41545328228094563,52
Surigao-Dinagat-Caraga,volume_mt,2024-01-08,-0.411736922932552,52
Surigao-Dinagat-Caraga,shipments,2024-01-15,-0.41048835196703515,52
Surigao-Dinagat-Caraga,volume_mt,2024-01-15,-0.4076385581412286,52
Surigao-Dinagat-Caraga,shipments,2024-01-22,-0.3735779265465767,52
Surigao-Dinagat-Caraga,volume_mt,2024-01-22,-0.37019351249887666,52
Surigao-Dinagat-Caraga,shipments,2024-01-29,-0.3695159182177197,52
Surigao-Dinagat-Caraga,volume_mt,2024-01-29,-0.3657695538333927,52
Surigao-Dinagat-Caraga,shipments,2024-02-05,-0.34017092428497714,52
Surigao-Dinagat-Caraga,volume_mt,2024-02-05,-0.336842841267187,52
Surigao-Dinagat-Caraga,shipments,2024-02-12,-0.2981512305538472,52
Surigao-Dinagat-Caraga,volume_mt,2024-02-12,-0.29548516881565223,52
Surigao-Dinagat-Caraga,shipments,2024-02-19,-0.3186798743409482,52
Surigao-Dinagat-Caraga,volume_mt,2024-02-19,-0.31573827709489366,52
Surigao-Dinagat-Caraga,shipments,2024-02-26,-0.28411434172601036,52
Surigao-Dinagat-Caraga,volume_mt,2024-02-26,-0.28105118829937975,52
Surigao-Dinagat-Caraga,shipments,2024-03-04,-0.26999943959617584,52
Surigao-Dinagat-Caraga,volume_mt,2024-03-04,-0.26816697630560427,52
Surigao-Dinagat-Caraga,shipments,2024-03-11,-0.24965509939137132,52
Surigao-Dinagat-Caraga,volume_mt,2024-03-11,-0.24674859308453836,52
Surigao-Dinagat-Caraga,shipments,2024-03-18,-0.2587473914338822,52
Surigao-Dinagat-Caraga,volume_mt,2024-03-18,-0.25444349853991094,52
Surigao-Dinagat-Caraga,shipments,2024-03-25,-0.2524155198499205,52
Surigao-Dinagat-Caraga,volume_mt,2024-03-25,-0.249039866042585,52
Surigao-Dinagat-Caraga,shipments,2024-04-01,-0.24606638784263243,52
Surigao-Dinagat-Caraga,volume_mt,2024-04-01,-0.2424113403251368,52
Surigao-Dinagat-Caraga,shipments,2024-04-08,-0.24803202771316307,52
Surigao-Dinagat-Caraga,volume_mt,2024-04-08,-0.24428199354845467,52
Surigao-Dinagat-Caraga,shipments,2024-04-15,-0.27382240992317924,52
Surigao-Dinagat-Caraga,volume_mt,2024-04-15,-0.2692654193316696,52
Surigao-Dinagat-Caraga,shipments,2024-04-22,-0.2738847355407491,52
Surigao-Dinagat-Caraga,volume_mt,2024-04-22,-0.26644584551443123,52
Surigao-Dinagat-Caraga,shipments,2024-04-29,-0.3233111215287903,52
Surigao-Dinagat-Caraga,volume_mt,2024-04-29,-0.3184799739420436,52
Surigao-Dinagat-Caraga,shipments,2024-05-06,-0.33139389542722336,52
Surigao-Dinagat-Caraga,volume_mt,2024-05-06,-0.32680377241026687,52
Surigao-Dinagat-Caraga,shipments,2024-05-13,-0.345462702466553,52
Surigao-Dinagat-Caraga,volume_mt,2024-05-13,-0.34143945469862075,52
Surigao-Dinagat-Caraga,shipments,2024-05-20,-0.29729503669530466,52
Surigao-Dinagat-Caraga,volume_mt,2024-05-20,-0.29709444280276054,52
Surigao-Dinagat-Caraga,shipments,2024-05-27,-0.2959854218959642,52
Surigao-Dinagat-Caraga,volume_mt,2024-05-27,-0.29673417311516137,52
Surigao-Dinagat-Caraga,shipments,2024-06-03,-0.2837905696020389,52
Surigao-Dinagat-Caraga,volume_mt,2024-06-03,-0.28286869455448155,52
Surigao-Dinagat-Caraga,shipments,2024-06-10,-0.26970878614090393,52
Surigao-Dinagat-Caraga,volume_mt,2024-06-10,-0.26870362904038375,52
Surigao-Dinagat-Caraga,shipments,2024-06-17,-0.267887716056049,52
Surigao-Dinagat-Caraga,volume_mt,2024-06-17,-0.2642190138872041,52
Surigao-Dinagat-Caraga,shipments,2024-06-24,-0.2613972208200064,52
Surigao-Dinagat-Caraga,volume_mt,2024-06-24,-0.2571949004615905,52
Surigao-Dinagat-Caraga,shipments,2024-07-01,-0.2688905794868308,52
Surigao-Dinagat-Caraga,volume_mt,2024-07-01,-0.26299080405124886,52
Surigao-Dinagat-Caraga,shipments,2024-07-08,-0.2519198550665833,52
Surigao-Dinagat-Caraga,volume_mt,2024-07-08,-0.2464299267924745,52
Surigao-Dinagat-Caraga,shipments,2024-07-15,-0.1874129934997059,52
Surigao-Dinagat-Caraga,volume_mt,2024-07-15,-0.1836750720121651,52
Surigao-Dinagat-Caraga,shipments,2024-07-22,-0.18133994233012168,52
Surigao-Dinagat-Caraga,volume_mt,2024-07-22,-0.17687901897255257,52
Surigao-Dinagat-Caraga,shipments,2024-07-29,-0.16569110437760157,52
Surigao-Dinagat-Caraga,volume_mt,2024-07-29,-0.1603368425653157,52
Surigao-Dinagat-Caraga,shipments,2024-08-05,-0.16249630113597555,52
Surigao-Dinagat-Caraga,volume_mt,2024-08-05,-0.15666655705608684,52
Surigao-Dinagat-Caraga,shipments,2024-08-12,-0.19570388313760914,52
Surigao-Dinagat-Caraga,volume_mt,2024-08-12,-0.18975009805050613,52
Surigao-Dinagat-Caraga,shipments,2024-08-19,-0.1947048738775338,52
Surigao-Dinagat-Caraga,volume_mt,2024-08-19,-0.18876175803994574,52
Surigao-Dinagat-Caraga,shipments,2024-08-26,-0.13497450978985343,52
Surigao-Dinagat-Caraga,volume_mt,2024-08-26,-0.13187126825403214,52
